"plot","site","alt","long_garmin","lat_garmin","x_garmin","y_garmin","z_garmin","x_trimble","y_trimble","z_trimble","x_diff","y_diff","date","inclin_down","inclin_dir","X","x","y","z","long","lat","location"
"P155",1,20,-51.779513,64.235064,462193.6806,7123440.034,18.932447,NA,NA,NA,NA,NA,"2011-07-18",25,260,NA,462193.6806,7123440.034,18.932447,-51.7795130000061,64.2350639991514,"<Point><coordinates>-51.7795130000061,64.2350639991514,18.932447</coordinates></Point>"
"P156",1,20,-51.77944,64.234994,462197.1254,7123432.191,19.48461,NA,NA,NA,NA,NA,"2011-07-18",24,282,NA,462197.1254,7123432.191,19.48461,-51.7794399999341,64.2349940034284,"<Point><coordinates>-51.7794399999341,64.2349940034284,19.48461</coordinates></Point>"
"P157",1,20,-51.769846,64.233216,462660.0198,7123228.402,20.381443,NA,NA,NA,NA,NA,"2011-07-19",25,172,NA,462660.0198,7123228.402,20.381443,-51.7698459993741,64.2332159985519,"<Point><coordinates>-51.7698459993741,64.2332159985519,20.381443</coordinates></Point>"
"P158",1,20,-51.769669,64.233252,462668.653,7123232.31,20.895584,NA,NA,NA,NA,NA,"2011-07-19",36,188,NA,462668.653,7123232.31,20.895584,-51.7696690010011,64.2332520020384,"<Point><coordinates>-51.7696690010011,64.2332520020384,20.895584</coordinates></Point>"
"P159",1,20,-51.769485,64.233263,462677.5921,7123233.428,21.166143,NA,NA,NA,NA,NA,"2011-07-19",44,198,NA,462677.5921,7123233.428,21.166143,-51.7694850003543,64.2332630040558,"<Point><coordinates>-51.7694850003543,64.2332630040558,21.166143</coordinates></Point>"
"P160",1,20,-51.769279,64.233318,462687.6575,7123239.435,20.803669,NA,NA,NA,NA,NA,"2011-07-19",28,196,NA,462687.6575,7123239.435,20.803669,-51.7692789996163,64.233317996672,"<Point><coordinates>-51.7692789996163,64.233317996672,20.803669</coordinates></Point>"
"P161",1,20,-51.769075,64.23336,462697.6083,7123243.996,19.456902,NA,NA,NA,NA,NA,"2011-07-19",35,204,NA,462697.6083,7123243.996,19.456902,-51.7690750001806,64.2333600017198,"<Point><coordinates>-51.7690750001806,64.2333600017198,19.456902</coordinates></Point>"
"P162",1,20,-51.768956,64.233441,462703.489,7123252.952,19.092646,NA,NA,NA,NA,NA,"2011-07-19",42,142,NA,462703.489,7123252.952,19.092646,-51.7689560007784,64.2334410010779,"<Point><coordinates>-51.7689560007784,64.2334410010779,19.092646</coordinates></Point>"
"P163",1,100,-51.80324,64.234347,461041.9604,7123374.454,100.474396,NA,NA,NA,NA,NA,"2011-07-18",20,18,NA,461041.9604,7123374.454,100.474396,-51.8032399996607,64.2343470026943,"<Point><coordinates>-51.8032399996607,64.2343470026943,100.474396</coordinates></Point>"
"P164",1,100,-51.803438,64.234308,461032.3027,7123370.229,99.970421,NA,NA,NA,NA,NA,"2011-07-18",15,350,NA,461032.3027,7123370.229,99.970421,-51.8034379992334,64.234307998122,"<Point><coordinates>-51.8034379992334,64.234307998122,99.970421</coordinates></Point>"
